strategy,target_accuracy,reached_seeds,total_seeds,reach_rate,rollout_tokens_mean_among_reached,rollout_tokens_std_among_reached
difficulty_beta05,0.65,3,3,1.0,621010.3333333334,156454.62627015327
difficulty_beta05,0.7,3,3,1.0,1464922.6666666667,691923.4831867851
difficulty_beta05,0.75,2,3,0.6666666666666666,1985095.0,399058.54038975283
difficulty_beta05,0.79,2,3,0.6666666666666666,3008236.0,158645.06321345142
vanilla,0.65,3,3,1.0,730139.3333333334,157580.8691000698
vanilla,0.7,3,3,1.0,1343420.3333333333,256927.44484451896
vanilla,0.75,3,3,1.0,2126005.3333333335,452593.85051206045
vanilla,0.79,2,3,0.6666666666666666,3717554.5,361193.6793639944
