strategy,seed,total_rollout_tokens,attempted_groups,zero_variance_group_ratio,effective_groups,effective_groups_per_million_tokens,last_20_zero_variance_group_ratio,average_response_length,fixed_last_accuracy,full_accuracy,full_correct,full_wrong_answer,full_wrong_format,calibration_gap,observed_prompt_coverage
difficulty_beta05,42,4005970,1128,0.374113475177305,706,176.23696632775585,0.45625,378.88054078014187,0.828125,0.8104624715693708,1069,176,74,0.08117121344675189,0.03184798608323297
vanilla,42,4023667,1216,0.5238486842105263,579,143.8985880292778,0.65,354.4994860197368,0.79296875,0.8180439727065959,1079,156,84,,
difficulty_beta05,43,4005307,1144,0.39073426573426573,697,174.01912013236438,0.4625,373.14106206293707,0.734375,0.7695223654283548,1015,152,152,0.06988407356234697,0.03358758196172889
vanilla,43,4017272,1224,0.5343137254901961,570,141.88733050687134,0.7,351.1143790849673,0.76171875,0.799090219863533,1054,165,100,,
difficulty_beta05,44,4022711,1104,0.34148550724637683,727,180.72389490569915,0.36875,384.3594882246377,0.796875,0.799090219863533,1054,163,102,0.08920097351074219,0.029840760069583836
vanilla,44,4012822,1208,0.5223509933774835,577,143.7890840909465,0.6875,356.1272764900662,0.8125,0.8043972706595905,1061,164,94,,
