timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,cumulative_generated_response_tokens,cumulative_rollout_tokens
1789653986.0131595,rollout,0,1,0.6375000476837158,0.5296000242233276,1.100000023841858,0.0,0.6375000476837158,0.5296000242233276,0.15742188692092896,7.078051567077637e-08,0.9428038001060486,0.0,1.0,1.0,0.75,0.5625,0.125,0.0,0.125,0.875,24751,6152,30903,386.734375,24751,30903
1789653995.8883224,rollout,1,2,0.675000011920929,0.5188509821891785,1.100000023841858,0.0,0.675000011920929,0.5188509821891785,0.14417968690395355,4.6566128730773926e-08,0.8164947628974915,0.25,0.75,0.75,0.8125,0.59375,0.25,0.25,0.0,0.75,23913,4344,28257,373.640625,48664,59160
1789654005.1712837,rollout,2,3,0.7015625238418579,0.5193073153495789,1.100000023841858,0.0,0.7015625238418579,0.5193073153495789,0.1634179651737213,5.960464477539063e-08,0.816494882106781,0.25,0.75,0.75,0.765625,0.625,0.25,0.125,0.125,0.75,25585,4160,29745,399.765625,74249,88905
1789654014.346455,rollout,3,4,0.823437511920929,0.4641914665699005,1.100000023841858,0.0,0.823437511920929,0.4641914665699005,0.16169922053813934,6.705522537231445e-08,0.8819150328636169,0.125,0.875,0.875,0.890625,0.734375,0.125,0.125,0.0,0.875,23708,3944,27652,370.4375,97957,116557
1789654023.4785528,rollout,4,5,0.5875000357627869,0.5340768694877625,1.100000023841858,0.0,0.5875000357627869,0.5340768694877625,0.08738281577825546,3.725290298461914e-08,0.8164898157119751,0.25,0.75,0.75,0.71875,0.515625,0.5,0.25,0.25,0.5,24927,3392,28319,389.484375,122884,144876
1789654032.4814143,rollout,5,6,0.7796874642372131,0.4794771373271942,1.100000023841858,0.0,0.7796874642372131,0.4794771373271942,0.1692773550748825,5.494803190231323e-08,0.8164949417114258,0.25,0.75,0.75,0.921875,0.6875,0.25,0.25,0.0,0.75,23380,3536,26916,365.3125,146264,171792
1789654041.6969547,rollout,6,7,0.7421875,0.4991436302661896,1.100000023841858,0.0,0.7421875,0.4991436302661896,0.11751954257488251,2.1420419216156006e-08,0.7453542947769165,0.375,0.625,0.625,0.859375,0.65625,0.375,0.375,0.0,0.625,24387,3904,28291,381.046875,170651,200083
1789654050.6788979,rollout,7,8,0.7906250357627869,0.4806472957134247,1.100000023841858,0.0,0.7906250357627869,0.4806472957134247,0.0979296937584877,4.842877388000488e-08,0.7453504800796509,0.375,0.625,0.625,0.875,0.703125,0.5,0.375,0.125,0.5,21894,3400,25294,342.09375,192545,225377
1789654060.2658384,rollout,8,9,0.7124999761581421,0.5050538182258606,1.100000023841858,0.0,0.7124999761581421,0.5050538182258606,0.14417968690395355,4.470348358154297e-08,0.8164947628974915,0.25,0.75,0.75,0.875,0.625,0.25,0.25,0.0,0.75,23591,4432,28023,368.609375,216136,253400
1789654069.0808253,rollout,9,10,0.9390624761581421,0.3773833215236664,1.100000023841858,0.0,0.9390624761581421,0.3773833215236664,0.1199023500084877,5.960464477539063e-08,0.7453542947769165,0.375,0.625,0.625,0.953125,0.84375,0.375,0.375,0.0,0.625,21112,3768,24880,329.875,237248,278280
1789654086.3930275,rollout,10,11,0.8984375596046448,0.4233247935771942,1.100000023841858,0.0,0.8984375596046448,0.4233247935771942,0.11037109792232513,7.078051567077637e-08,0.7453542351722717,0.375,0.625,0.625,0.859375,0.8125,0.375,0.375,0.0,0.625,20467,3352,23819,319.796875,257715,302099
1789654095.7803576,rollout,11,12,0.7796874642372131,0.4794771373271942,1.100000023841858,0.0,0.7796874642372131,0.4794771373271942,0.08912109583616257,3.4458935260772705e-08,0.7453518509864807,0.375,0.625,0.625,0.921875,0.6875,0.5,0.375,0.125,0.5,21129,3936,25065,330.140625,278844,327164
