timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens
1789704581.0783005,rollout,0,1,0.6359375715255737,0.531355619430542,1.100000023841858,0.0,0.6359375715255737,0.531355619430542,0.10216797143220901,6.705522537231445e-08,0.8164920210838318,0.25,0.75,0.75,0.734375,0.5625,0.375,0.125,0.25,0.625,24329,6152,30481,380.140625,0.6359375715255737,0.531355619430542,1.100000023841858,0.0,0.6359375715255737,0.531355619430542,0.10216797143220901,6.705522537231445e-08,0.8164920210838318,0.25,0.75,0.75,0.734375,0.5625,0.375,0.125,0.25,0.625,24329,30481,random,True,8,8,0,0,24329,30481,0,0,8,8,0,0,0
1789704591.0749,rollout,1,2,0.7593750357627869,0.4920700490474701,1.100000023841858,0.0,0.7593750357627869,0.4920700490474701,0.1505078226327896,5.4016709327697754e-08,0.8164948225021362,0.25,0.75,0.75,0.875,0.671875,0.25,0.25,0.0,0.75,23764,4344,28108,371.3125,0.7593750357627869,0.4920700490474701,1.100000023841858,0.0,0.7593750357627869,0.4920700490474701,0.1505078226327896,5.4016709327697754e-08,0.8164948225021362,0.25,0.75,0.75,0.875,0.671875,0.25,0.25,0.0,0.75,48093,58589,random,True,8,8,0,0,23764,28108,0,0,16,16,0,0,0
1789704600.4884722,rollout,2,3,0.6890625357627869,0.5182746648788452,1.100000023841858,0.0,0.6890625357627869,0.5182746648788452,0.1429101675748825,3.725290298461914e-08,0.8164913654327393,0.25,0.75,0.75,0.796875,0.609375,0.375,0.25,0.125,0.625,25607,4160,29767,400.109375,0.6890625357627869,0.5182746648788452,1.100000023841858,0.0,0.6890625357627869,0.5182746648788452,0.1429101675748825,3.725290298461914e-08,0.8164913654327393,0.25,0.75,0.75,0.796875,0.609375,0.375,0.25,0.125,0.625,73700,88356,random,True,8,8,0,0,25607,29767,0,0,24,24,0,0,0
1789704609.8491912,rollout,3,4,0.8765624761581421,0.4260345697402954,1.100000023841858,0.0,0.8765624761581421,0.4260345697402954,0.12498047947883606,5.21540641784668e-08,0.8164946436882019,0.25,0.75,0.75,0.953125,0.78125,0.25,0.25,0.0,0.75,22908,3944,26852,357.9375,0.8765624761581421,0.4260345697402954,1.100000023841858,0.0,0.8765624761581421,0.4260345697402954,0.12498047947883606,5.21540641784668e-08,0.8164946436882019,0.25,0.75,0.75,0.953125,0.78125,0.25,0.25,0.0,0.75,96608,115208,random,True,8,8,0,0,22908,26852,0,0,32,32,0,0,0
1789704619.0767188,rollout,4,5,0.589062511920929,0.5324746966362,1.100000023841858,0.0,0.589062511920929,0.5324746966362,0.09205079078674316,2.60770320892334e-08,0.8164888620376587,0.25,0.75,0.75,0.734375,0.515625,0.5,0.25,0.25,0.5,24436,3392,27828,381.8125,0.589062511920929,0.5324746966362,1.100000023841858,0.0,0.589062511920929,0.5324746966362,0.09205079078674316,2.60770320892334e-08,0.8164888620376587,0.25,0.75,0.75,0.734375,0.515625,0.5,0.25,0.25,0.5,121044,143036,random,True,8,8,0,0,24436,27828,0,0,40,40,0,0,0
1789704628.3372228,rollout,5,6,0.7953124642372131,0.4732292592525482,1.100000023841858,0.0,0.7953124642372131,0.4732292592525482,0.12791016697883606,3.166496753692627e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.703125,0.375,0.375,0.0,0.625,22763,3536,26299,355.671875,0.7953124642372131,0.4732292592525482,1.100000023841858,0.0,0.7953124642372131,0.4732292592525482,0.12791016697883606,3.166496753692627e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.703125,0.375,0.375,0.0,0.625,143807,169335,random,True,8,8,0,0,22763,26299,0,0,48,48,0,0,0
1789704637.7375805,rollout,6,7,0.723437488079071,0.507637619972229,1.100000023841858,0.0,0.723437488079071,0.507637619972229,0.09705079346895218,2.0489096641540527e-08,0.7453517317771912,0.375,0.625,0.625,0.828125,0.640625,0.5,0.375,0.125,0.5,24382,3904,28286,380.96875,0.723437488079071,0.507637619972229,1.100000023841858,0.0,0.723437488079071,0.507637619972229,0.09705079346895218,2.0489096641540527e-08,0.7453517317771912,0.375,0.625,0.625,0.828125,0.640625,0.5,0.375,0.125,0.5,168189,197621,random,True,8,8,0,0,24382,28286,0,0,56,56,0,0,0
1789704646.8793118,rollout,7,8,0.7734375,0.48900359869003296,1.100000023841858,0.0,0.7734375,0.48900359869003296,0.07263672351837158,-1.862645149230957e-09,0.666662335395813,0.5,0.5,0.5,0.859375,0.6875,0.625,0.5,0.125,0.375,22080,3400,25480,345.0,0.7734375,0.48900359869003296,1.100000023841858,0.0,0.7734375,0.48900359869003296,0.07263672351837158,-1.862645149230957e-09,0.666662335395813,0.5,0.5,0.5,0.859375,0.6875,0.625,0.5,0.125,0.375,190269,223101,random,True,8,8,0,0,22080,25480,0,0,64,64,0,0,0
1789704656.7110262,rollout,8,9,0.8578124642372131,0.44178739190101624,1.100000023841858,0.0,0.8578124642372131,0.44178739190101624,0.12564454972743988,5.587935447692871e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.765625,0.375,0.375,0.0,0.625,24043,4432,28475,375.671875,0.8578124642372131,0.44178739190101624,1.100000023841858,0.0,0.8578124642372131,0.44178739190101624,0.12564454972743988,5.587935447692871e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.765625,0.375,0.375,0.0,0.625,214312,251576,random,True,8,8,0,0,24043,28475,0,0,72,72,0,0,0
1789704665.8285952,rollout,9,10,0.934374988079071,0.3884109854698181,1.100000023841858,0.0,0.934374988079071,0.3884109854698181,0.12253907322883606,5.587935447692871e-08,0.7453542947769165,0.375,0.625,0.625,0.90625,0.84375,0.375,0.375,0.0,0.625,21693,3768,25461,338.953125,0.934374988079071,0.3884109854698181,1.100000023841858,0.0,0.934374988079071,0.3884109854698181,0.12253907322883606,5.587935447692871e-08,0.7453542947769165,0.375,0.625,0.625,0.90625,0.84375,0.375,0.375,0.0,0.625,236005,277037,random,True,8,8,0,0,21693,25461,0,0,80,80,0,0,0
