timestamp,event,step,grpo_step,train/loss,train/grad_norm,train/learning_rate,train/policy_entropy,train/response_tokens_in_step,train/step_time,train/elapsed_time,rollout/cumulative_generated_response_tokens,rollout/cumulative_rollout_tokens
1789713991.7354524,optimizer_step,0,1,-0.06902935833204538,0.53515625,2e-05,0.23889751121217132,21869,5.0761706829071045,9.377419710159302,21927,25591
1789714001.5661776,optimizer_step,1,2,-0.041609740319759836,0.318359375,2e-05,0.2388313820362091,24000,4.965709209442139,19.20814347267151,45982,53502
1789714010.728839,optimizer_step,2,3,-0.02676731513467759,0.21875,2e-05,0.1985633354989989,20618,4.918368339538574,28.370805978775024,66656,77368
1789714020.0639105,optimizer_step,3,4,-0.01460727930079921,0.19140625,2e-05,0.18395588526999826,24411,4.87601637840271,37.705875635147095,91118,105446
1789714029.3335254,optimizer_step,4,5,-0.019946349138379293,0.283203125,2e-05,0.2470848508453887,22105,4.941796779632568,46.975486040115356,113276,131684
1789714038.5071733,optimizer_step,5,6,-0.01904356066582423,0.298828125,2e-05,0.2022961848111733,22294,4.839831113815308,56.14913511276245,135621,157837
1789714047.586736,optimizer_step,6,7,-0.016432795963710937,0.263671875,2e-05,0.20848002019704168,21523,4.814664363861084,65.22869610786438,157202,182610
1789714056.7291856,optimizer_step,7,8,-0.015082647465525269,0.1826171875,2e-05,0.189538211548526,22625,4.855720043182373,74.3711462020874,179880,208392
1789714065.8836062,optimizer_step,8,9,-0.014738171792167989,0.1728515625,2e-05,0.18952128321128378,22353,4.836243391036987,83.5255696773529,202287,234559
1789714075.4584105,optimizer_step,9,10,-0.012537751893360892,0.1826171875,2e-05,0.17718275940554956,21189,4.849484205245972,93.10038185119629,223534,259286
1789714093.2229483,optimizer_step,10,11,-0.010765291019660643,0.1513671875,2e-05,0.18814604933196855,22222,4.983611345291138,110.86491203308105,245815,285119
1789714103.2046883,optimizer_step,11,12,-0.009386517920115604,0.2236328125,2e-05,0.25041076963970327,23756,4.9703004360198975,120.8466546535492,269622,312878
1789714112.2438583,optimizer_step,12,13,-0.008394870284050731,0.22265625,2e-05,0.18445553594990877,21180,4.777779579162598,129.88582968711853,290861,337253
1789714121.5637872,optimizer_step,13,14,-0.007064877097211333,0.1904296875,2e-05,0.18770863062708956,22066,4.947553634643555,139.20575094223022,312990,363510
1789714130.924241,optimizer_step,14,15,-0.011316450026116986,0.27734375,2e-05,0.23094699953766895,23379,4.9460554122924805,148.56620717048645,336426,390634
1789714140.5207155,optimizer_step,15,16,-0.01041722144267885,0.2158203125,2e-05,0.20681602026720733,24411,5.077741861343384,158.1626763343811,360885,419973
1789714149.6869032,optimizer_step,16,17,-0.013887678427601781,0.2255859375,2e-05,0.2593452813031579,22904,4.801083564758301,167.32886838912964,383842,446634
1789714158.9729445,optimizer_step,17,18,-0.01302162329394,0.2734375,2e-05,0.16277591132233177,22858,4.912973642349243,176.61491203308105,406754,472954
1789714168.3183234,optimizer_step,18,19,-0.011886391148055222,0.412109375,2e-05,0.1998892084705008,24230,4.907219886779785,185.9602870941162,431037,501045
1789714177.6524947,optimizer_step,19,20,-0.012216060955848035,0.228515625,2e-05,0.16789518076569723,22472,4.980972766876221,195.29446268081665,453566,526990
1789714196.4403617,optimizer_step,20,21,-0.011950908628299249,0.2578125,2e-05,0.17187318919769654,24754,5.0534491539001465,214.0823323726654,478368,555808
1789714205.7675622,optimizer_step,21,22,-0.00971218870484511,0.197265625,2e-05,0.17876117347311996,21667,4.932646751403809,223.409526348114,500092,581644
1789714214.9611669,optimizer_step,22,23,-0.009106139017225456,0.1591796875,2e-05,0.1808030761505389,22027,4.77449107170105,232.6031346321106,522180,607508
1789714224.7123704,optimizer_step,23,24,-0.009527553673553173,0.25390625,2e-05,0.1939398673660634,28246,5.007541656494141,242.35433769226074,550474,640362
1789714234.0888364,optimizer_step,24,25,-0.008881509635521366,0.17578125,2e-05,0.16276947684645207,23803,4.902937412261963,251.7308006286621,574336,668368
1789714244.1799738,optimizer_step,25,26,-0.008471505184657885,0.224609375,2e-05,0.2053952482108442,21880,5.086591958999634,261.8219380378723,596271,694663
1789714253.511145,optimizer_step,26,27,-0.021805971149549054,0.4296875,2e-05,0.24019452843564013,22612,4.928540945053101,271.15310502052307,618941,720917
1789714262.6974034,optimizer_step,27,28,-0.02102312055333324,0.306640625,2e-05,0.20290406478411294,20527,4.924560785293579,280.33937430381775,639531,745091
1789714271.9438233,optimizer_step,28,29,-0.01927876275332349,0.18359375,2e-05,0.18074899382486043,21212,4.902508735656738,289.58579111099243,660804,770132
1789714281.3534853,optimizer_step,29,30,-0.01854817846752851,0.2333984375,2e-05,0.20559052412999665,23567,4.9717934131622314,298.9954535961151,684423,797623
1789714298.7282844,optimizer_step,30,31,-0.017962316325591823,0.1669921875,2e-05,0.14015161694958342,20005,4.753444194793701,316.37024545669556,704490,820834
1789714307.8798423,optimizer_step,31,32,-0.0165188477058685,0.1806640625,2e-05,0.17066852248782868,21880,4.803500413894653,325.5218131542206,726427,846139
1789714317.715679,optimizer_step,32,33,-0.016274339082455687,0.2177734375,2e-05,0.18275834327130525,21507,4.866158723831177,335.3576412200928,747985,871129
1789714327.0854928,optimizer_step,33,34,-0.014950520657958483,0.23828125,2e-05,0.19092446286693224,23185,4.930152654647827,344.7274639606476,771228,898260
1789714336.5303383,optimizer_step,34,35,-0.014777656595792539,0.23828125,2e-05,0.21580260247139305,25309,4.90419602394104,354.17230343818665,796581,927421
1789714345.7158787,optimizer_step,35,36,-0.015810007799858965,0.244140625,2e-05,0.17888375391906358,21454,4.853916645050049,363.3578450679779,818096,952616
1789714355.2553072,optimizer_step,36,37,-0.01530217700502429,0.2041015625,2e-05,0.16023454384872818,22514,5.038793325424194,372.89726972579956,840666,979002
1789714364.7931788,optimizer_step,37,38,-0.015156257830305208,0.306640625,2e-05,0.1815894366603644,23787,4.9996726512908936,382.4351418018341,864510,1006174
1789714374.2478237,optimizer_step,38,39,-0.018112143727676135,0.353515625,2e-05,0.17728343427271356,23812,4.892906904220581,391.889794588089,888380,1034244
1789714383.6038077,optimizer_step,39,40,-0.016281064126259244,0.216796875,2e-05,0.18038548188287976,21762,5.007267713546753,401.2457721233368,910196,1060020
1789714402.3260896,optimizer_step,40,41,-0.016763513508042217,0.31640625,2e-05,0.2402382561334699,23025,4.92250394821167,419.96805691719055,933280,1087096
1789714411.5265467,optimizer_step,41,42,-0.016669178168370276,0.2294921875,2e-05,0.18535474218076992,20242,4.904977560043335,429.16851019859314,953583,1110623
1789714420.8593743,optimizer_step,42,43,-0.01592576153993113,0.244140625,2e-05,0.16746630222183884,22664,4.934746742248535,438.50134444236755,976303,1136487
1789714430.2391398,optimizer_step,43,44,-0.014374499769294086,0.146484375,2e-05,0.1944278384588613,23098,4.912322044372559,447.88110399246216,999460,1163420
1789714439.6347146,optimizer_step,44,45,-0.012919990143139205,0.1875,2e-05,0.19388752499046305,21501,5.011409521102905,457.2766811847687,1021022,1189526
1789714448.7518432,optimizer_step,45,46,-0.012618536975722103,0.1337890625,2e-05,0.18228707817582995,19611,4.920958042144775,466.39380741119385,1040695,1212583
1789714458.1796238,optimizer_step,46,47,-0.013853425386054753,0.240234375,2e-05,0.17517121071595684,23277,4.9407572746276855,475.82159209251404,1064031,1240183
