strategy,seed,optimizer_steps,total_rollout_tokens,attempted_groups,optimized_effective_groups,zero_variance_group_ratio,discarded_rollout_token_ratio,effective_groups_per_million_tokens,training_format_reward_mean,mean_gradient_norm,mean_policy_entropy,full_accuracy,full_correct,full_wrong_answer,full_wrong_format
difficulty_dynamic,42,89,4008481,1128,712,0.36347517730496454,0.3328058683576148,177.6233939988739,0.9103501769879185,0.31639527738764045,0.16701841011411486,0.8347232752084913,1101,208,10
fastema,42,141,4005970,1128,706,0.374113475177305,0.0,176.23696632775585,0.9106826241134752,0.2639038951684397,0.1618630557386823,0.8104624715693708,1069,176,74
difficulty_dynamic,43,92,4001601,1106,736,0.3345388788426763,0.2924044651128386,183.92638346501812,0.8856238703400058,0.332954738451087,0.17946441004686864,0.8013646702047005,1057,191,71
fastema,43,143,4005307,1144,697,0.39073426573426573,0.0,174.01912013236438,0.9177229020979021,0.2682098175262238,0.17302947616279094,0.7695223654283548,1015,152,152
difficulty_dynamic,44,87,4000598,1087,696,0.35970561177552896,0.3224725403552169,173.97399088836218,0.8805197783314864,0.33021282327586204,0.18942698273361483,0.7839272175890827,1034,184,101
fastema,44,138,4022711,1104,727,0.34148550724637683,0.0,180.72389490569915,0.901947463768116,0.27507218070652173,0.17817743789459012,0.799090219863533,1054,163,102
