timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty_selected_seen_ratio,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789702989.886635,rollout,0,1,0.6265625357627869,0.5416735410690308,1.100000023841858,0.0,0.6265625357627869,0.5416735410690308,0.12818360328674316,5.21540641784668e-08,0.881912887096405,0.125,0.875,0.875,0.640625,0.5625,0.25,0.125,0.125,0.75,26188,3352,29540,409.1875,0.6265625357627869,0.5416735410690308,1.100000023841858,0.0,0.6265625357627869,0.5416735410690308,0.12818360328674316,5.21540641784668e-08,0.881912887096405,0.125,0.875,0.875,0.640625,0.5625,0.25,0.125,0.125,0.75,26188,29540,difficulty,True,8,8,0,0,26188,29540,0,0,8,8,0,0,0,True,0,0.0,,,,8,0.5625,1.0
1789702999.7434986,rollout,1,2,0.8093750476837158,0.4689463973045349,1.100000023841858,0.0,0.8093750476837158,0.4689463973045349,0.14902344346046448,5.960464477539063e-08,0.8819150328636169,0.125,0.875,0.875,0.90625,0.71875,0.125,0.125,0.0,0.875,22187,4072,26259,346.671875,0.8093750476837158,0.4689463973045349,1.100000023841858,0.0,0.8093750476837158,0.4689463973045349,0.14902344346046448,5.960464477539063e-08,0.8819150328636169,0.125,0.875,0.875,0.90625,0.71875,0.125,0.125,0.0,0.875,48375,55799,difficulty,True,8,8,0,0,22187,26259,0,0,16,16,0,0,0,True,8,0.0,,,0.5625,16,0.71875,1.0
1789703008.833915,rollout,2,3,0.8437499403953552,0.4478785991668701,1.100000023841858,0.0,0.8437499403953552,0.4478785991668701,0.12785157561302185,5.960464477539063e-08,0.745354413986206,0.375,0.625,0.625,0.9375,0.75,0.375,0.375,0.0,0.625,20295,3544,23839,317.109375,0.8437499403953552,0.4478785991668701,1.100000023841858,0.0,0.8437499403953552,0.4478785991668701,0.12785157561302185,5.960464477539063e-08,0.745354413986206,0.375,0.625,0.625,0.9375,0.75,0.375,0.375,0.0,0.625,68670,79638,difficulty,True,8,8,0,0,20295,23839,0,0,24,24,0,0,0,True,16,0.0,,,0.640625,24,0.75,1.0
1789703018.0698838,rollout,3,4,0.7296875715255737,0.4991038739681244,1.100000023841858,0.0,0.7296875715255737,0.4991038739681244,0.05818359926342964,-0.0009312666952610016,0.6666664481163025,0.5,0.5,0.5,0.890625,0.640625,0.625,0.375,0.25,0.375,22053,3760,25813,344.578125,0.7296875715255737,0.4991038739681244,1.100000023841858,0.0,0.7296875715255737,0.4991038739681244,0.05818359926342964,-0.0009312666952610016,0.6666664481163025,0.5,0.5,0.5,0.890625,0.640625,0.625,0.375,0.25,0.375,90723,105451,difficulty,True,8,8,0,0,22053,25813,0,0,32,32,0,0,0,True,24,0.0,,,0.6770833333333334,32,0.640625,1.0
1789703027.2520282,rollout,4,5,0.8953124284744263,0.408803790807724,1.100000023841858,0.0,0.8953124284744263,0.408803790807724,0.09427734464406967,4.6566128730773926e-08,0.6666651964187622,0.5,0.5,0.5,0.984375,0.796875,0.5,0.5,0.0,0.5,20513,3992,24505,320.515625,0.8953124284744263,0.408803790807724,1.100000023841858,0.0,0.8953124284744263,0.408803790807724,0.09427734464406967,4.6566128730773926e-08,0.6666651964187622,0.5,0.5,0.5,0.984375,0.796875,0.5,0.5,0.0,0.5,111236,129956,difficulty,True,8,8,0,0,20513,24505,0,0,40,40,0,0,0,True,32,0.0,,,0.66796875,40,0.796875,1.0
1789703036.4460993,rollout,5,6,0.9203125238418579,0.39808258414268494,1.100000023841858,0.0,0.9203125238418579,0.39808258414268494,0.03990234434604645,2.60770320892334e-08,0.5773457288742065,0.625,0.375,0.375,0.921875,0.828125,0.75,0.625,0.125,0.25,22247,3680,25927,347.609375,0.9203125238418579,0.39808258414268494,1.100000023841858,0.0,0.9203125238418579,0.39808258414268494,0.03990234434604645,2.60770320892334e-08,0.5773457288742065,0.625,0.375,0.375,0.921875,0.828125,0.75,0.625,0.125,0.25,133483,155883,difficulty,True,8,8,0,0,22247,25927,0,0,48,48,0,0,0,True,40,0.0,,,0.69375,48,0.828125,1.0
1789703045.6875215,rollout,6,7,0.5453125238418579,0.526422381401062,1.100000023841858,0.0,0.5453125238418579,0.526422381401062,0.14259767532348633,5.960464477539063e-08,0.9428026676177979,0.0,1.0,1.0,0.765625,0.46875,0.25,0.0,0.25,0.75,23599,3960,27559,368.734375,0.5453125238418579,0.526422381401062,1.100000023841858,0.0,0.5453125238418579,0.526422381401062,0.14259767532348633,5.960464477539063e-08,0.9428026676177979,0.0,1.0,1.0,0.765625,0.46875,0.25,0.0,0.25,0.75,157082,183442,difficulty,True,8,8,0,0,23599,27559,0,0,56,56,0,0,0,True,48,0.0,,,0.7161458333333334,56,0.46875,1.0
1789703054.8118834,rollout,7,8,0.932812511920929,0.3920052945613861,1.100000023841858,0.0,0.932812511920929,0.3920052945613861,0.030449219048023224,3.91155481338501e-08,0.577345073223114,0.625,0.375,0.375,0.890625,0.84375,0.75,0.625,0.125,0.25,21081,3832,24913,329.390625,0.932812511920929,0.3920052945613861,1.100000023841858,0.0,0.932812511920929,0.3920052945613861,0.030449219048023224,3.91155481338501e-08,0.577345073223114,0.625,0.375,0.375,0.890625,0.84375,0.75,0.625,0.125,0.25,178163,208355,difficulty,True,8,8,0,0,21081,24913,0,0,64,64,0,0,0,True,56,0.0,,,0.6808035714285714,64,0.84375,1.0
1789703064.1049893,rollout,8,9,0.8234374523162842,0.4641914665699005,1.100000023841858,0.0,0.8234374523162842,0.4641914665699005,0.08583984524011612,5.587935447692871e-08,0.7453517913818359,0.375,0.625,0.625,0.890625,0.734375,0.5,0.375,0.125,0.5,23530,3912,27442,367.65625,0.8234374523162842,0.4641914665699005,1.100000023841858,0.0,0.8234374523162842,0.4641914665699005,0.08583984524011612,5.587935447692871e-08,0.7453517913818359,0.375,0.625,0.625,0.890625,0.734375,0.5,0.375,0.125,0.5,201693,235797,difficulty,True,8,8,0,0,23530,27442,0,0,72,72,0,0,0,True,64,0.0,,,0.701171875,72,0.734375,1.0
1789703073.8530107,rollout,9,10,0.7671874761581421,0.48042795062065125,1.100000023841858,0.0,0.7671874761581421,0.48042795062065125,0.13478517532348633,3.725290298461914e-08,0.745354413986206,0.375,0.625,0.625,0.953125,0.671875,0.375,0.375,0.0,0.625,20746,3856,24602,324.15625,0.7671874761581421,0.48042795062065125,1.100000023841858,0.0,0.7671874761581421,0.48042795062065125,0.13478517532348633,3.725290298461914e-08,0.745354413986206,0.375,0.625,0.625,0.953125,0.671875,0.375,0.375,0.0,0.625,222439,260399,difficulty,True,8,8,0,0,20746,24602,0,0,80,80,0,0,0,True,72,0.0,,,0.7048611111111112,80,0.671875,1.0
