timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789711300.2233636,rollout,10,11,0.6515624523162842,0.5133123993873596,1.100000023841858,0.0,0.6515624523162842,0.5133123993873596,0.09642578661441803,-0.0009312927722930908,0.6666698455810547,0.5,0.5,0.5,0.890625,0.5625,0.5,0.375,0.125,0.5,22324,3552,25876,348.8125,0.6515624523162842,0.5133123993873596,1.100000023841858,0.0,0.6515624523162842,0.5133123993873596,0.09642578661441803,-0.0009312927722930908,0.6666698455810547,0.5,0.5,0.5,0.890625,0.5625,0.5,0.375,0.125,0.5,245058,284362,difficulty,True,8,8,0,0,22324,25876,0,0,88,88,0,0,0,True,80,0.01070520540612873,0.0,1.0,0.0,1.0,,,0.68125,88,0.011775725946741603,0.5625,1.0
1789711310.1499188,rollout,11,12,0.7234375476837158,0.507637619972229,1.100000023841858,0.0,0.7234375476837158,0.507637619972229,0.09490234404802322,3.725290298461914e-08,0.7453517317771912,0.375,0.625,0.625,0.828125,0.640625,0.5,0.375,0.125,0.5,23544,3952,27496,367.875,0.7234375476837158,0.507637619972229,1.100000023841858,0.0,0.7234375476837158,0.507637619972229,0.09490234404802322,3.725290298461914e-08,0.7453517317771912,0.375,0.625,0.625,0.828125,0.640625,0.5,0.375,0.125,0.5,268602,311858,difficulty,True,8,8,0,0,23544,27496,0,0,96,96,0,0,0,True,88,0.011775725946741603,0.0,1.0,0.0,1.0,,,0.6704545454545454,96,0.012846246487354477,0.640625,1.0
1789711319.4613948,rollout,12,13,0.895312488079071,0.408803790807724,1.100000023841858,0.0,0.895312488079071,0.408803790807724,0.07005859911441803,2.7939677238464355e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.796875,0.625,0.625,0.0,0.375,20891,3136,24027,326.421875,0.895312488079071,0.408803790807724,1.100000023841858,0.0,0.895312488079071,0.408803790807724,0.07005859911441803,2.7939677238464355e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.796875,0.625,0.625,0.0,0.375,289493,335885,difficulty,True,8,8,0,0,20891,24027,0,0,104,104,0,0,0,True,96,0.012846246487354477,0.0,1.0,0.0,1.0,,,0.66796875,104,0.013916767027967349,0.796875,1.0
1789711328.7156446,rollout,13,14,0.9562499523162842,0.3585132658481598,1.100000023841858,0.0,0.9562499523162842,0.3585132658481598,0.09246093779802322,4.6566128730773926e-08,0.6666651368141174,0.5,0.5,0.5,0.96875,0.859375,0.5,0.5,0.0,0.5,22074,4128,26202,344.90625,0.9562499523162842,0.3585132658481598,1.100000023841858,0.0,0.9562499523162842,0.3585132658481598,0.09246093779802322,4.6566128730773926e-08,0.6666651368141174,0.5,0.5,0.5,0.96875,0.859375,0.5,0.5,0.0,0.5,311567,362087,difficulty,True,8,8,0,0,22074,26202,0,0,112,112,0,0,0,True,104,0.013916767027967349,0.0,1.0,0.0,1.0,,,0.6778846153846154,112,0.014987287568580221,0.859375,1.0
1789711338.1422472,rollout,14,15,0.8687499761581421,0.4410935342311859,1.100000023841858,0.0,0.8687499761581421,0.4410935342311859,0.12957032024860382,5.4016709327697754e-08,0.7453543543815613,0.375,0.625,0.625,0.875,0.78125,0.375,0.375,0.0,0.625,23657,3688,27345,369.640625,0.8687499761581421,0.4410935342311859,1.100000023841858,0.0,0.8687499761581421,0.4410935342311859,0.12957032024860382,5.4016709327697754e-08,0.7453543543815613,0.375,0.625,0.625,0.875,0.78125,0.375,0.375,0.0,0.625,335224,389432,difficulty,True,8,8,0,0,23657,27345,0,0,120,120,0,0,0,True,112,0.014987287568580221,0.0,1.0,0.0,1.0,,,0.6908482142857143,120,0.016057808109193095,0.78125,1.0
1789711347.550144,rollout,15,16,0.5843750238418579,0.5372530817985535,1.100000023841858,0.0,0.5843750238418579,0.5372530817985535,0.1079687550663948,6.332993507385254e-08,0.8819104433059692,0.125,0.875,0.875,0.6875,0.515625,0.375,0.125,0.25,0.625,25105,4880,29985,392.265625,0.5843750238418579,0.5372530817985535,1.100000023841858,0.0,0.5843750238418579,0.5372530817985535,0.1079687550663948,6.332993507385254e-08,0.8819104433059692,0.125,0.875,0.875,0.6875,0.515625,0.375,0.125,0.25,0.625,360329,419417,difficulty,True,8,8,0,0,25105,29985,0,0,128,128,0,0,0,True,120,0.016057808109193095,0.0,1.0,0.0,1.0,,,0.696875,128,0.017128328649805968,0.515625,1.0
1789711357.1171727,rollout,16,17,0.9046875238418579,0.41035398840904236,1.100000023841858,0.0,0.9046875238418579,0.41035398840904236,0.12712891399860382,5.029141902923584e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.8125,0.375,0.375,0.0,0.625,25228,3648,28876,394.1875,0.9046875238418579,0.41035398840904236,1.100000023841858,0.0,0.9046875238418579,0.41035398840904236,0.12712891399860382,5.029141902923584e-08,0.7453543543815613,0.375,0.625,0.625,0.921875,0.8125,0.375,0.375,0.0,0.625,385557,448293,difficulty,True,8,8,0,0,25228,28876,0,0,136,136,0,0,0,False,128,0.017128328649805968,0.875,0.125,0.875,0.743718433538229,0.6071428571428571,0.8214285714285714,0.685546875,129,0.017262143717382578,0.8125,1.875
1789711366.4489946,rollout,17,18,0.8609374761581421,0.43593257665634155,1.100000023841858,0.0,0.8609374761581421,0.43593257665634155,0.10115234553813934,6.705522537231445e-08,0.745354175567627,0.375,0.625,0.625,0.953125,0.765625,0.375,0.375,0.0,0.625,24109,3536,27645,376.703125,0.8609374761581421,0.43593257665634155,1.100000023841858,0.0,0.8609374761581421,0.43593257665634155,0.10115234553813934,6.705522537231445e-08,0.745354175567627,0.375,0.625,0.625,0.953125,0.765625,0.375,0.375,0.0,0.625,409666,475938,difficulty,True,8,8,0,0,24109,27645,0,0,144,144,0,0,0,False,129,0.017262143717382578,0.625,0.375,0.625,0.8169417382415922,0.425,0.8625,0.6913759689922481,132,0.017663588920112404,0.765625,1.625
1789711375.727347,rollout,18,19,0.7734375596046448,0.48900359869003296,1.100000023841858,0.0,0.7734375596046448,0.48900359869003296,0.13330078125,4.0978193283081055e-08,0.745354413986206,0.375,0.625,0.625,0.859375,0.6875,0.375,0.375,0.0,0.625,23027,3712,26739,359.796875,0.7734375596046448,0.48900359869003296,1.100000023841858,0.0,0.7734375596046448,0.48900359869003296,0.13330078125,4.0978193283081055e-08,0.745354413986206,0.375,0.625,0.625,0.859375,0.6875,0.375,0.375,0.0,0.625,432693,502677,difficulty,True,8,8,0,0,23027,26739,0,0,152,152,0,0,0,False,132,0.017663588920112404,0.75,0.25,1.0,0.7478909578906802,0.5104166666666666,0.7994791666666666,0.7021780303030303,134,0.017931219055265624,0.6875,2.0
1789711385.1651556,rollout,19,20,0.8453124761581421,0.4450538456439972,1.100000023841858,0.0,0.8453124761581421,0.4450538456439972,0.11326172947883606,6.705522537231445e-08,0.7453542947769165,0.375,0.625,0.625,0.953125,0.75,0.375,0.375,0.0,0.625,23159,3384,26543,361.859375,0.8453124761581421,0.4450538456439972,1.100000023841858,0.0,0.8453124761581421,0.4450538456439972,0.11326172947883606,6.705522537231445e-08,0.7453542947769165,0.375,0.625,0.625,0.953125,0.75,0.375,0.375,0.0,0.625,455852,529220,difficulty,True,8,8,0,0,23159,26543,0,0,160,160,0,0,0,False,134,0.017931219055265624,0.25,0.75,0.25,0.9267766952966369,0.5,0.75,0.7082555970149254,140,0.018734109460725276,0.75,1.25
