timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,length_truncated_responses,length_truncated_response_ratio,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_global_seen_ema_accuracy_mean,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_selected_seen_group_accuracy_mean,difficulty_selected_seen_effective_group_ratio
1789802821.3211377,rollout,0,1,0.6946429014205933,0.5093381404876709,1.100000023841858,0.0,0.6946429014205933,0.5093381404876709,0.12337053567171097,3.831727113379202e-08,0.7977192401885986,0.2857142984867096,0.7142857313156128,0.7142857313156128,0.875,0.6071428656578064,0.4285714328289032,0.2857142984867096,0.1428571492433548,0.5714285969734192,20583,3200,23783,10,0.17857142857142858,367.55357142857144,0.5325000286102295,0.5210381746292114,1.100000023841858,0.0,0.5325000286102295,0.5210381746292114,0.17271874845027924,5.960464477539063e-08,0.9473252296447754,0.0,1.0,1.0,0.824999988079071,0.44999998807907104,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,20583,23783,difficulty_dynamic,True,7,5,2,1,15458,17946,5125,5837,7,5,2,5125,5837,True,0,0.0,7,0.0009367054730362638,0.6,0.0,1.0,0.0,1.0,0.6071428571428571,1.0,,,,
1789802828.558255,rollout,1,2,0.39249998331069946,0.49891549348831177,1.100000023841858,0.0,0.39249998331069946,0.49891549348831177,0.1694687455892563,2.6822089438383045e-08,0.9473252892494202,0.0,1.0,1.0,0.675000011920929,0.32499998807907104,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,17379,2768,20147,14,0.35,434.475,0.39249998331069946,0.49891549348831177,1.100000023841858,0.0,0.39249998331069946,0.49891549348831177,0.1694687455892563,2.6822089438383045e-08,0.9473252892494202,0.0,1.0,1.0,0.675000011920929,0.32499998807907104,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,37962,43930,difficulty_dynamic,True,5,5,0,0,17379,20147,0,0,12,10,2,5125,5837,True,7,0.0009367054730362638,12,0.0016057808109193096,0.6071428571428571,0.0,1.0,0.0,1.0,0.325,1.0,,,,
1789802838.3373022,rollout,2,3,0.8375000357627869,0.4601688086986542,1.100000023841858,0.0,0.8375000357627869,0.4601688086986542,0.13619792461395264,7.202228147207279e-08,0.8629468083381653,0.1666666716337204,0.8333333134651184,0.8333333134651184,0.875,0.75,0.1666666716337204,0.1666666716337204,0.0,0.8333333134651184,18168,2832,21000,6,0.125,378.5,0.7850000262260437,0.4880889058113098,1.100000023841858,0.0,0.7850000262260437,0.4880889058113098,0.16343751549720764,8.642673776648735e-08,0.9473286271095276,0.0,1.0,1.0,0.8500000238418579,0.699999988079071,0.0,0.0,0.0,1.0,56130,64930,difficulty_dynamic,True,6,5,1,1,16041,18545,2127,2455,18,15,3,7252,8292,True,12,0.0016057808109193096,18,0.0024086712163789645,0.5588235294117647,0.0,1.0,0.0,1.0,0.75,1.0,,,,
1789802847.8301475,rollout,3,4,0.8767857551574707,0.4319053292274475,1.100000023841858,0.0,0.8767857551574707,0.4319053292274475,0.14042411744594574,7.663454226758404e-08,0.7977222204208374,0.2857142984867096,0.7142857313156128,0.7142857313156128,0.9107142686843872,0.7857142686843872,0.2857142984867096,0.2857142984867096,0.0,0.7142857313156128,20436,3520,23956,6,0.10714285714285714,364.92857142857144,0.7875000238418579,0.4842056632041931,1.100000023841858,0.0,0.7875000238418579,0.4842056632041931,0.1965937614440918,1.0728835775353218e-07,0.9473288059234619,0.0,1.0,1.0,0.875,0.699999988079071,0.0,0.0,0.0,1.0,76566,88886,difficulty_dynamic,True,7,5,2,1,14892,17468,5544,6488,25,20,5,12796,14780,True,18,0.0024086712163789645,25,0.003345376689415228,0.6358695652173914,0.0,1.0,0.0,1.0,0.7857142857142857,1.0,,,,
1789802864.3903148,rollout,4,5,0.8613636493682861,0.4431942105293274,1.100000023841858,0.0,0.8613636493682861,0.4431942105293274,0.08133523166179657,3.3866275117588884e-08,0.6342657208442688,0.5454545617103577,0.4545454680919647,0.4545454680919647,0.8863636255264282,0.7727272510528564,0.6363636255264282,0.5454545617103577,0.09090909361839294,0.3636363744735718,33844,6536,40380,15,0.17045454545454544,384.59090909090907,0.574999988079071,0.5328924655914307,1.100000023841858,0.0,0.574999988079071,0.5328924655914307,0.17893750965595245,7.152557657263969e-08,0.9473240375518799,0.0,1.0,1.0,0.75,0.5,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,110410,129266,difficulty_dynamic,True,11,5,6,4,17655,21839,16189,18541,36,25,11,28985,33321,True,25,0.003345376689415228,36,0.004817342432757929,0.6714285714285714,0.0,1.0,0.0,1.0,0.7727272727272727,1.0,,,,
1789802873.1306074,rollout,5,6,0.550000011920929,0.5343518853187561,1.100000023841858,0.0,0.550000011920929,0.5343518853187561,0.11817708611488342,3.476937493473997e-08,0.8629424571990967,0.1666666716337204,0.8333333134651184,0.8333333134651184,0.7083333134651184,0.4791666567325592,0.3333333432674408,0.1666666716337204,0.1666666716337204,0.6666666865348816,17416,3104,20520,15,0.3125,362.8333333333333,0.440000057220459,0.5192697048187256,1.100000023841858,0.0,0.440000057220459,0.5192697048187256,0.1418125033378601,3.5762788286319847e-08,0.9473237991333008,0.0,1.0,1.0,0.6499999761581421,0.375,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,127826,149786,difficulty_dynamic,True,6,5,1,1,15450,18306,1966,2214,42,30,12,30951,35535,True,36,0.004817342432757929,42,0.005620232838217583,0.6463414634146342,0.0,1.0,0.0,1.0,0.4791666666666667,1.0,,,,
1789802882.5700278,rollout,6,7,0.6916666626930237,0.5106663703918457,1.100000023841858,0.0,0.6916666626930237,0.5106663703918457,0.14557291567325592,3.476937493473997e-08,0.8629425764083862,0.1666666716337204,0.8333333134651184,0.8333333134651184,0.875,0.6041666865348816,0.3333333432674408,0.1666666716337204,0.1666666716337204,0.6666666865348816,18687,2744,21431,9,0.1875,389.3125,0.6100000143051147,0.5227147936820984,1.100000023841858,0.0,0.6100000143051147,0.5227147936820984,0.17468750476837158,4.7683716530855236e-08,0.9473239779472351,0.0,1.0,1.0,0.8500000238418579,0.5249999761581421,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,146513,171217,difficulty_dynamic,True,6,5,1,1,16590,18894,2097,2537,48,35,13,33048,38072,True,42,0.005620232838217583,48,0.006423123243677238,0.6409574468085106,0.0,1.0,0.0,1.0,0.6041666666666666,1.0,,,,
1789802889.4686067,rollout,7,8,0.5649999380111694,0.51617431640625,1.100000023841858,0.0,0.5649999380111694,0.51617431640625,0.1694374978542328,8.940696716308594e-08,0.9473256468772888,0.0,1.0,1.0,0.8999999761581421,0.4749999940395355,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,14923,2648,17571,7,0.175,373.075,0.5649999380111694,0.51617431640625,1.100000023841858,0.0,0.5649999380111694,0.51617431640625,0.1694374978542328,8.940696716308594e-08,0.9473256468772888,0.0,1.0,1.0,0.8999999761581421,0.4749999940395355,0.20000000298023224,0.0,0.20000000298023224,0.800000011920929,161436,188788,difficulty_dynamic,True,5,5,0,0,14923,17571,0,0,53,40,13,33048,38072,True,48,0.006423123243677238,53,0.0070921985815602835,0.6432291666666666,0.0,1.0,0.0,1.0,0.475,1.0,,,,
1789802903.4864752,rollout,8,9,0.9650000333786011,0.35971155762672424,1.100000023841858,0.0,0.9650000333786011,0.35971155762672424,0.09815625846385956,4.17232506322307e-08,0.6656094789505005,0.5,0.5,0.5,0.8999999761581421,0.875,0.5,0.5,0.0,0.5,27412,5024,32436,9,0.1125,342.65,0.8300000429153442,0.4740442633628845,1.100000023841858,0.0,0.8300000429153442,0.4740442633628845,0.19631251692771912,8.34465012644614e-08,0.9473288059234619,0.0,1.0,1.0,0.800000011920929,0.75,0.0,0.0,0.0,1.0,188848,221224,difficulty_dynamic,True,10,5,5,3,16137,19433,11275,13003,63,45,18,44323,51075,True,53,0.0070921985815602835,63,0.008430349257326376,0.6633064516129032,0.0,1.0,0.0,1.0,0.875,1.0,,,,
1789802917.0750024,rollout,9,10,0.8888890147209167,0.4147137403488159,1.100000023841858,0.0,0.8888890147209167,0.4147137403488159,0.10336805880069733,3.973643103449831e-08,0.7021079063415527,0.4444444477558136,0.5555555820465088,0.5555555820465088,0.9722222089767456,0.7916666865348816,0.4444444477558136,0.4444444477558136,0.0,0.5555555820465088,24108,4640,28748,5,0.06944444444444445,334.8333333333333,0.7199999690055847,0.49727463722229004,1.100000023841858,0.0,0.7199999690055847,0.49727463722229004,0.1860624998807907,8.34465012644614e-08,0.9473287463188171,0.0,1.0,1.0,0.949999988079071,0.625,0.0,0.0,0.0,1.0,212956,249972,difficulty_dynamic,True,9,5,4,3,14337,16953,9771,11795,72,50,22,54094,62870,True,63,0.008430349257326376,72,0.009634684865515858,0.6830985915492958,0.0,1.0,0.0,1.0,0.7916666666666666,1.0,,,,
