timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,length_truncated_responses,length_truncated_response_ratio,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_global_seen_ema_accuracy_mean,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_selected_seen_group_accuracy_mean,difficulty_selected_seen_effective_group_ratio
1789792295.5867174,rollout,0,1,0.6097222566604614,0.5376421809196472,1.100000023841858,0.0,0.6097222566604614,0.5376421809196472,0.13998264074325562,3.973643103449831e-08,0.888102114200592,0.1111111119389534,0.8888888955116272,0.8888888955116272,0.6805555820465088,0.5416666865348816,0.2222222238779068,0.1111111119389534,0.1111111119389534,0.7777777910232544,28821,3744,32565,29,0.4027777777777778,400.2916666666667,0.5484375357627869,0.539838969707489,1.100000023841858,0.0,0.5484375357627869,0.539838969707489,0.15748047828674316,5.960464477539063e-08,0.9428048729896545,0.0,1.0,1.0,0.640625,0.484375,0.125,0.0,0.125,0.875,28821,32565,difficulty_dynamic,True,9,8,1,1,25758,29094,3063,3471,9,8,1,3063,3471,True,0,0.0,9,0.0012043356081894822,0.5625,0.0,1.0,0.0,1.0,0.5416666666666666,1.0,,,,
1789792308.0328665,rollout,1,2,0.6277778148651123,0.5179108381271362,1.100000023841858,0.0,0.6277778148651123,0.5179108381271362,0.17156250774860382,4.635916894812908e-08,0.8881041407585144,0.1111111119389534,0.8888888955116272,0.8888888955116272,0.8611111044883728,0.5416666865348816,0.1111111119389534,0.1111111119389534,0.0,0.8888888955116272,24966,4688,29654,13,0.18055555555555555,346.75,0.5687500238418579,0.5200350880622864,1.100000023841858,0.0,0.5687500238418579,0.5200350880622864,0.19300781190395355,6.146728992462158e-08,0.9428069591522217,0.0,1.0,1.0,0.84375,0.484375,0.0,0.0,0.0,1.0,53787,62219,difficulty_dynamic,True,9,8,1,1,22731,27107,2235,2547,18,16,2,5298,6018,True,9,0.0012043356081894822,18,0.0024086712163789645,0.5588235294117647,0.0,1.0,0.0,1.0,0.5416666666666666,1.0,,,,
1789792322.6316597,rollout,2,3,0.723958432674408,0.49984100461006165,1.100000023841858,0.0,0.723958432674408,0.49984100461006165,0.12194011360406876,-0.0006208370323292911,0.767772912979126,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.8854166865348816,0.6354166865348816,0.3333333432674408,0.25,0.0833333358168602,0.6666666865348816,33502,5376,38878,16,0.16666666666666666,348.9791666666667,0.6609375476837158,0.5190398097038269,1.100000023841858,0.0,0.6609375476837158,0.5190398097038269,0.18291017413139343,7.636845111846924e-08,0.9428068399429321,0.0,1.0,1.0,0.828125,0.578125,0.0,0.0,0.0,1.0,87289,101097,difficulty_dynamic,True,12,8,4,2,23972,27764,9530,11114,30,24,6,14828,17132,True,18,0.0024086712163789645,30,0.004014452027298274,0.5689655172413793,0.0,1.0,0.0,1.0,0.6354166666666666,1.0,,,,
1789792336.855884,rollout,3,4,0.9187501072883606,0.39653363823890686,1.100000023841858,0.0,0.9187501072883606,0.39653363823890686,0.13014063239097595,1.028180136586343e-07,0.8419366478919983,0.20000000298023224,0.800000011920929,0.800000011920929,0.9375,0.824999988079071,0.20000000298023224,0.20000000298023224,0.0,0.800000011920929,28888,4488,33376,11,0.1375,361.1,0.8734375238418579,0.4321383535861969,1.100000023841858,0.0,0.8734375238418579,0.4321383535861969,0.16267578303813934,1.2665987014770508e-07,0.9428067207336426,0.0,1.0,1.0,0.921875,0.78125,0.0,0.0,0.0,1.0,116177,134473,difficulty_dynamic,True,10,8,2,2,23132,26844,5756,6532,40,32,8,20584,23664,True,30,0.004014452027298274,40,0.005352602703064365,0.6346153846153846,0.0,1.0,0.0,1.0,0.825,1.0,,,,
1789792349.132274,rollout,4,5,0.8352271914482117,0.447994202375412,1.100000023841858,0.0,0.8352271914482117,0.447994202375412,0.08353693038225174,7.586045569496491e-08,0.8022908568382263,0.27272728085517883,0.7272727489471436,0.7272727489471436,0.9659090638160706,0.7386363744735718,0.3636363744735718,0.27272728085517883,0.09090909361839294,0.6363636255264282,29902,5040,34942,7,0.07954545454545454,339.79545454545456,0.7359374761581421,0.4903407394886017,1.100000023841858,0.0,0.7359374761581421,0.4903407394886017,0.11486328393220901,1.0244548320770264e-07,0.9428035020828247,0.0,1.0,1.0,0.953125,0.640625,0.125,0.0,0.125,0.875,146079,169415,difficulty_dynamic,True,11,8,3,1,22770,26578,7132,8364,51,40,11,27716,32028,True,40,0.005352602703064365,51,0.006824568446407065,0.6666666666666666,0.0,1.0,0.0,1.0,0.7386363636363636,1.0,,,,
1789792363.9455967,rollout,5,6,0.7145833373069763,0.5123689770698547,1.100000023841858,0.0,0.7145833373069763,0.5123689770698547,0.10463541746139526,3.973643103449831e-08,0.7677685022354126,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.7916666865348816,0.6354166865348816,0.4166666567325592,0.3333333432674408,0.0833333358168602,0.5833333134651184,35956,5704,41660,27,0.28125,374.5416666666667,0.5218750238418579,0.5316845774650574,1.100000023841858,0.0,0.5218750238418579,0.5316845774650574,0.1569531410932541,5.774199962615967e-08,0.9428048133850098,0.0,1.0,1.0,0.6875,0.453125,0.125,0.0,0.125,0.875,182035,211075,difficulty_dynamic,True,12,8,4,2,25929,29849,10027,11811,63,48,15,37743,43839,True,51,0.006824568446407065,63,0.008430349257326376,0.657258064516129,0.0,1.0,0.0,1.0,0.6354166666666666,1.0,,,,
1789792378.6484764,rollout,6,7,0.7897727489471436,0.48257923126220703,1.100000023841858,0.0,0.7897727489471436,0.48257923126220703,0.11350853741168976,8.940696716308594e-08,0.802291750907898,0.27272728085517883,0.7272727489471436,0.7272727489471436,0.8522727489471436,0.7045454382896423,0.3636363744735718,0.27272728085517883,0.09090909361839294,0.6363636255264282,31309,5440,36749,14,0.1590909090909091,355.78409090909093,0.6734374761581421,0.5207571387290955,1.100000023841858,0.0,0.6734374761581421,0.5207571387290955,0.15607422590255737,8.940696716308594e-08,0.9428045749664307,0.0,1.0,1.0,0.796875,0.59375,0.125,0.0,0.125,0.875,213344,247824,difficulty_dynamic,True,11,8,3,2,24478,28446,6831,8303,74,56,18,44574,52142,True,63,0.008430349257326376,74,0.009902315000669076,0.660958904109589,0.0,1.0,0.0,1.0,0.7045454545454546,1.0,,,,
1789792397.1829138,rollout,7,8,0.7464286088943481,0.49646109342575073,1.100000023841858,0.0,0.7464286088943481,0.49646109342575073,0.09984375536441803,3.086669053686819e-08,0.7102809548377991,0.4285714328289032,0.5714285969734192,0.5714285969734192,0.8571428656578064,0.6607142686843872,0.5,0.3571428656578064,0.1428571492433548,0.5,40629,7904,48533,22,0.19642857142857142,362.75892857142856,0.6187500357627869,0.5172807574272156,1.100000023841858,0.0,0.6187500357627869,0.5172807574272156,0.17472656071186066,3.725290298461914e-08,0.9428039193153381,0.0,1.0,1.0,0.875,0.53125,0.125,0.0,0.125,0.875,253973,296357,difficulty_dynamic,True,14,8,6,4,24671,29415,15958,19118,88,64,24,60532,71260,True,74,0.009902315000669076,88,0.011775725946741603,0.6609195402298851,0.0,1.0,0.0,1.0,0.6607142857142857,1.0,,,,
1789792409.8777137,rollout,8,9,0.753125011920929,0.4939535856246948,1.100000023841858,0.0,0.753125011920929,0.4939535856246948,0.1291797012090683,3.725290298461914e-08,0.7677686810493469,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.8645833134651184,0.6666666865348816,0.4166666567325592,0.3333333432674408,0.0833333358168602,0.5833333134651184,35754,5408,41162,21,0.21875,372.4375,0.5796875357627869,0.525592565536499,1.100000023841858,0.0,0.5796875357627869,0.525592565536499,0.19376952946186066,7.078051567077637e-08,0.9428050518035889,0.0,1.0,1.0,0.796875,0.5,0.125,0.0,0.125,0.875,289727,337519,difficulty_dynamic,True,12,8,4,1,25255,29039,10499,12123,100,72,28,71031,83383,True,88,0.011775725946741603,100,0.013381506757660913,0.6783854166666666,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,,,,
1789792427.305477,rollout,9,10,0.7516667246818542,0.4861066937446594,1.100000023841858,0.0,0.7516667246818542,0.4861066937446594,0.09389583766460419,-0.000993367051705718,0.6859961152076721,0.46666666865348816,0.5333333611488342,0.5333333611488342,0.9333333373069763,0.6583333611488342,0.5333333611488342,0.3333333432674408,0.20000000298023224,0.46666666865348816,38364,6856,45220,14,0.11666666666666667,319.7,0.6968749761581421,0.5083333253860474,1.100000023841858,0.0,0.6968749761581421,0.5083333253860474,0.1760546863079071,8.568167686462402e-08,0.9428049921989441,0.0,1.0,1.0,0.875,0.609375,0.125,0.0,0.125,0.875,328091,382739,difficulty_dynamic,True,15,8,7,3,23287,27687,15077,17533,115,80,35,86108,100916,True,100,0.013381506757660913,115,0.01538873277131005,0.6622807017543859,0.0,1.0,0.0,1.0,0.6583333333333333,1.0,,,,
